scienceworld.objects.substance.food.Bread	77
scienceworld.objects.taskitems.AnswerBox	44
scienceworld.objects.substance.food.AppleJuice	5
scienceworld.objects.containers.furniture.Desk	92
scienceworld.objects.taskitems.UnknownSubstanceThermal	116
scienceworld.objects.electricalcomponent.ElectricBuzzer	28
scienceworld.objects.livingthing.plant.BananaTree	62
scienceworld.objects.livingthing.animals.Butterfly	46
scienceworld.objects.electricalcomponent.SolarPanel	29
scienceworld.objects.livingthing.plant.PearTree	104
scienceworld.objects.livingthing.animals.Dragonfly	98
scienceworld.objects.substance.food.Jam	80
scienceworld.objects.misc.AluminumFoil	43
scienceworld.objects.containers.PlasticCup	14
scienceworld.objects.livingthing.plant.PeachTree	66
scienceworld.objects.substance.food.Banana	76
scienceworld.objects.substance.SteelBlock	106
scienceworld.objects.containers.SelfWateringFlowerPot	100
scienceworld.objects.electricalcomponent.Anode	24
scienceworld.objects.misc.ForkPlastic	35
scienceworld.objects.livingthing.animals.Turtle	51
scienceworld.objects.containers.furniture.Cupboard	89
scienceworld.objects.livingthing.animals.Wolf	59
scienceworld.objects.electricalcomponent.NuclearGenerator	32
scienceworld.objects.substance.Rubber	12
scienceworld.objects.substance.SodiumChloride	33
scienceworld.objects.livingthing.animals.Crocodile	52
scienceworld.objects.taskitems.UnknownSubstanceElectricalConductivity	45
scienceworld.objects.substance.food.Cashew	73
scienceworld.objects.livingthing.animals.Chameleon	97
scienceworld.objects.substance.food.OrangeJuice	2
scienceworld.objects.containers.GlassCup	17
scienceworld.objects.document.BookOriginOfSpecies	40
scienceworld.objects.livingthing.animals.BrownBear	57
scienceworld.objects.livingthing.plant.RandomGeneticsPlantsC	111
scienceworld.objects.substance.WoodBlock	42
scienceworld.objects.livingthing.animals.GiantTortoise	50
scienceworld.objects.livingthing.plant.AppleTree	60
scienceworld.objects.substance.food.Orange	83
scienceworld.objects.substance.SodiumBicarbonate	75
scienceworld.objects.substance.IronBlock	85
scienceworld.objects.substance.paint.YellowPaint	88
scienceworld.objects.livingthing.plant.GrapefruitTree	103
scienceworld.objects.containers.GlassJar	39
scienceworld.objects.substance.Brick	107
scienceworld.objects.substance.Sugar	84
scienceworld.objects.livingthing.animals.Toad	49
scienceworld.objects.livingthing.animals.Frog	48
scienceworld.objects.containers.FlowerPot	68
scienceworld.objects.livingthing.animals.BlueJay	55
scienceworld.objects.livingthing.animals.Animal	101
scienceworld.objects.substance.food.Marshmallow	8
scienceworld.objects.containers.TinCup	21
scienceworld.objects.livingthing.animals.Mouse	96
scienceworld.objects.livingthing.plant.PeaPlant	67
scienceworld.objects.livingthing.plant.RandomGeneticsPlantsB	110
scienceworld.objects.electricalcomponent.Battery	23
scienceworld.objects.electricalcomponent.ElectricMotor	27
scienceworld.objects.substance.food.Almond	72
scienceworld.objects.substance.Ice	1
scienceworld.objects.electricalcomponent.LightBulb	26
scienceworld.objects.livingthing.plant.RandomGeneticsPlantsE	109
scienceworld.objects.containers.Jug	4
scienceworld.objects.document.Paper	78
scienceworld.objects.substance.Tin	15
scienceworld.objects.livingthing.plant.AvocadoTree	61
scienceworld.objects.substance.food.Apple	82
scienceworld.objects.livingthing.animals.Dove	54
scienceworld.objects.containers.MetalPot	6
scienceworld.objects.substance.paint.BluePaint	79
scienceworld.objects.containers.WoodBowl	87
scienceworld.objects.devices.Shovel	38
scienceworld.objects.electricalcomponent.Cathode	25
scienceworld.objects.livingthing.plant.CherryTree	63
scienceworld.objects.substance.food.Flour	81
scienceworld.objects.containers.furniture.Closet	91
scienceworld.objects.misc.PaperClip	41
scienceworld.objects.substance.Caesium	19
scienceworld.objects.devices.Thermometer	113
scienceworld.objects.livingthing.plant.Soil	69
scienceworld.objects.livingthing.animals.Hedgehog	95
scienceworld.objects.substance.paint.RedPaint	86
scienceworld.objects.electricalcomponent.Terminal	0
scienceworld.objects.misc.InclinedPlane	105
scienceworld.objects.substance.Water	34
scienceworld.objects.electricalcomponent.WindGenerator	30
scienceworld.objects.livingthing.animals.Chipmunk	93
scienceworld.objects.livingthing.plant.LemonTree	64
scienceworld.objects.substance.food.Chocolate	7
scienceworld.objects.livingthing.animals.Elephant	56
scienceworld.objects.livingthing.animals.Ant	99
scienceworld.objects.substance.Lead	13
scienceworld.objects.livingthing.animals.Moth	47
scienceworld.objects.substance.Wood	114
scienceworld.objects.containers.CeramicCup	10
scienceworld.objects.livingthing.plant.ApricotTree	102
scienceworld.objects.substance.food.Apricot	37
scienceworld.objects.substance.Gallium	18
scienceworld.objects.misc.ForkMetal	36
scienceworld.objects.devices.Stove	20
scienceworld.objects.document.Recipe	70
scienceworld.objects.containers.PaperCup	22
scienceworld.objects.electricalcomponent.Wire	115
scienceworld.objects.substance.food.IceCream	9
scienceworld.objects.devices.StopWatch	108
scienceworld.objects.livingthing.animals.Parrot	53
scienceworld.objects.substance.food.Peanut	71
scienceworld.objects.livingthing.plant.RandomGeneticsPlantsD	112
scienceworld.objects.containers.furniture.Drawer	90
scienceworld.objects.livingthing.animals.Rabbit	94
scienceworld.objects.electricalcomponent.GasGenerator	31
scienceworld.objects.substance.Soap	11
scienceworld.objects.containers.WoodCup	3
scienceworld.objects.livingthing.plant.OrangeTree	65
scienceworld.objects.substance.Mercury	16
scienceworld.objects.livingthing.animals.Beaver	58
scienceworld.objects.substance.AceticAcid	74
